1,Haldsvej,1,Horsens,8700,9.835904241121996,55.87746972455174
2,Banegårdsgade,2,Horsens,8700,9.837638462738413,55.86358739147706
3,Torvet,9,Horsens,8700,9.851752734511157,55.86216308465828
4,Heasdllo,Heasdllo,Hesssso,120,1.4,1.4
5,Heasdllo,Heasdllo,Hesssso,120,1.4,1.4
6,Vestergade,3,Horsens,8700,98436687,558695563
7,3,Vestergade,Horsens,8700,98436687,558695563
8,Hello,Hello,Hello,10,1.4,1.4
9,Kollegievaenget,16,Horsens,8700,1.4,1.4
10,Kollegievaenget,16,Horsens,8700,1.4,1.4
11,2,Sundvej,Horsens,8700,9.8616465,55.862666
12,Sundvej,3,Horsens,8700,9.8643797,55.8632323
13,3,Sundvej,Horsens,8700,9.8643797,55.8632323
14,4,Sundvej ,Horsens,8700,9.8618205,55.8626818
15,5,Sundvej ,Horsens,8700,9.8648272,55.8633709
16,7,Sundvej,Horsens,8700,9.8651529,55.8635641
17,8,Sundvej ,Horsens,8700,9.8626814,55.8627741
18,1,Haldsvej,Horsens,8700,9.8359257,55.8774818
19,Kamtjatka,8,Horsens,8700,9.8581825,55.8616752
20,Kamtjatka,8,Horsens,8700,9.8581825,55.8616752
21,Haldsvej,1,Horsens,8700,9.8359257,55.8774818
22,string,string,Horsens,1,1,1
23,Hede Nielsens Vej,9,Horsens,8700,98414537,558736859
24,Trappevejen,1,Horsens,8700,98404949,558745096
25,Vestergade,4,Horsens,8700,98435816,558698045
26,Sundvej ,10,Horsens,8700,9.8628773,55.8627911
